CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL.5000,PO2SM,IM_2020,GM_2020,IMN_2020
01,Aguascalientes,01001,Aguascalientes,948990,1.644737773,20.3672204,0.1047987,0.11316904,0.378609666,0.5914338,10.33952999,7.523683074,54.22659412,60.31879504,Muy bajo,0.944508383
01,Aguascalientes,01002,Asientos,51536,3.526405451,33.90636439,2.650372648,0.486447571,0.858160307,1.352429508,22.94230461,78.22104936,78.56547123,56.54607102,Muy bajo,0.885432776
01,Aguascalientes,01003,Calvillo,58250,4.49150907,42.48244984,0.365177249,0.516760258,0.800978399,1.040410652,19.21985817,51.30128755,79.25977654,57.05825094,Muy bajo,0.8934528
01,Aguascalientes,01004,Cosío,17000,3.144867339,27.69674548,0.712854955,0.5773536,0.659832685,1.030988571,22.71686554,65.47058824,81.72636894,57.1140301,Muy bajo,0.894326224
01,Aguascalientes,01005,Jesús María,129929,2.38058754,26.69247715,0.277033962,0.354957444,0.860425814,1.312651927,16.40457535,37.16414349,56.74875338,59.0117617,Muy bajo,0.92404206
01,Aguascalientes,01006,Pabellón de Arteaga,47646,2.732338666,25.72428031,0.541337546,0.425487098,1.0447604,0.705634544,19.07595444,32.76455526,64.33501116,58.62476783,Muy bajo,0.917982275
01,Aguascalientes,01007,Rincón de Romos,57369,3.445916842,27.09434273,0.965870247,0.501341,1.027223167,1.302663184,20.97550201,44.28524116,76.64397175,57.64667135,Muy bajo,0.902666645
01,Aguascalientes,01008,San José de Gracia,9552,2.439772902,28.41994033,2.107139113,0.922528567,1.708774505,0.859628892,21.57275009,41.30025126,75.41093593,57.52753056,Muy bajo,0.900801066
01,Aguascalientes,01009,Tepezalá,22485,4.235218509,35.08627758,1.385041551,0.585291752,1.085693861,1.429720311,22.98573875,76.76228597,76.94355698,56.60431438,Muy bajo,0.886344786
01,Aguascalientes,01010,El Llano,20853,3.898421414,34.75771316,2.321130631,1.030523113,1.78133281,1.452546864,21.81678581,69.75495133,76.33609202,56.55579422,Muy bajo,0.885585027
01,Aguascalientes,01011,San Francisco de los Romo,61997,2.35876249,28.46614532,0.186041997,0.31869803,0.456207332,0.73612684,18.50740814,41.1197316,65.87116587,58.55209783,Muy bajo,0.916844364
